team_ID,team,nickname,conference,color,hometown,stadium_id
2746,Wittenberg,WIT,North Coast,#000000,Springfield,258
2747,Wofford,WOF,Southern,#533B23,Spartanburg,259
2751,Wyoming,WYO,Mountain West,#533B22,Laramie,260
2754,Youngstown State,YSU,MVFC,#E51936,Youngstown,262
2755,Grambling,GRAM,SWAC,#ee8601,Grambling,78
2803,Bryant,BRY,Big South,#000000,Smithfield,25
2804,Chowan,CHO,CIAA,#000000,Murfreesboro,263
2916,Incarnate Word,IW,Southland,#000000,San Antonio,90
2951,SUNY Maritime,MAR,ECFC,#000000,Bronx,210
2963,Case Western Reserve,CSR,Presidents',#000000,Cleveland,33
112358,Long Island University,LIU,NEC,#69B3E7,Brookville,109
